product_id,quantity_sold,sale_date,total_amount
213,3,2024-07-31,300
214,4,2024-08-01,400
215,5,2024-08-02,500
216,1,2024-08-03,100
217,2,2024-08-04,200
218,3,2024-08-05,300
219,4,2024-08-06,400
220,5,2024-08-07,500
221,1,2024-08-08,100
,2,2024-08-09,200
223,3,2024-08-10,300
224,4,2024-08-11,400
225,5,2024-08-12,500
226,1,2024-08-13,100
227,2,2024-08-14,200
228,3,2024-08-15,300
229,4,2024-08-16,400
230,5,2024-08-17,500
231,,2024-08-18,100
232,2,2024-08-19,200
233,3,2024-08-20,
234,4,2024-08-21,400
235,5,2024-08-22,500
236,1,2024-08-23,100
237,2,2024-08-24,200
238,3,2024-08-25,300
,4,2024-08-26,400
240,5,2024-08-27,500
241,1,2024-08-28,100
242,2,2024-08-29,200
243,3,2024-08-30,300
244,4,2024-08-31,400
245,5,2024-09-01,500
246,1,2024-09-02,100
247,2,2024-09-03,200
248,3,2024-09-04,300
249,4,2024-09-05,400
250,5,2024-09-06,500
251,1,2024-09-07,100
252,2,2024-09-08,200
253,3,2024-09-09,300
254,,2024-09-10,100
255,5,2024-09-11,500
,1,2024-09-12,100
257,2,2024-09-13,200
258,3,2024-09-14,300
259,4,2024-09-15,400
260,5,2024-09-16,500
261,1,2024-09-17,100
262,2,2024-09-18,
263,3,2024-09-19,300
264,4,2024-09-20,400
265,5,2024-09-21,500
266,1,2024-09-22,100
267,2,2024-09-23,200
268,3,2024-09-24,300
269,4,2024-09-25,400
270,5,2024-09-26,500
271,1,2024-09-27,100
272,2,2024-09-28,200
,3,2024-09-29,300
274,4,2024-09-30,400
275,5,2024-10-01,500
276,1,2024-10-02,100
277,,2024-10-03,100
278,3,2024-10-04,300
279,4,2024-10-05,400
280,5,2024-10-06,500
281,1,2024-10-07,100
282,2,2024-10-08,200
283,3,2024-10-09,300
284,4,2024-10-10,400
285,5,2024-10-11,500
286,1,2024-10-12,100
287,2,2024-10-13,200
288,3,2024-10-14,300
289,4,2024-10-15,400
,5,2024-10-16,500
291,1,2024-10-17,
292,2,2024-10-18,200
293,3,2024-10-19,300
294,4,2024-10-20,400
295,5,2024-10-21,500
296,1,2024-10-22,100
297,2,2024-10-23,200
298,3,2024-10-24,300
299,4,2024-10-25,400
300,,2024-10-26,100
301,1,2024-10-27,100
302,2,2024-10-28,200
303,3,2024-10-29,300
304,4,2024-10-30,400
305,5,2024-10-31,500
306,1,2024-11-01,100
,2,2024-11-02,200
308,3,2024-11-03,300
309,4,2024-11-04,400
310,5,2024-11-05,500
311,1,2024-11-06,100
312,2,2024-11-07,200
313,3,2024-11-08,300
314,4,2024-11-09,400
315,5,2024-11-10,500
316,1,2024-11-11,100
317,2,2024-11-12,200
318,3,2024-11-13,300
319,4,2024-11-14,400
320,5,2024-11-15,
321,1,2024-11-16,100
322,2,2024-11-17,200
323,,2024-11-18,100
,4,2024-11-19,400
325,5,2024-11-20,500
326,1,2024-11-21,100
327,2,2024-11-22,200
328,3,2024-11-23,300
329,4,2024-11-24,400
330,5,2024-11-25,500
331,1,2024-11-26,100
332,2,2024-11-27,200
333,3,2024-11-28,300
334,4,2024-11-29,400
335,5,2024-11-30,500
336,1,2024-12-01,100
337,2,2024-12-02,200
338,3,2024-12-03,300
339,4,2024-12-04,400
340,5,2024-12-05,500
,1,2024-12-06,100
342,2,2024-12-07,200
343,3,2024-12-08,300
344,4,2024-12-09,400
345,5,2024-12-10,500
346,,2024-12-11,100
347,2,2024-12-12,200
348,3,2024-12-13,300
349,4,2024-12-14,
350,5,2024-12-15,500
351,1,2024-12-16,100
352,2,2024-12-17,200
353,3,2024-12-18,300
354,4,2024-12-19,400
355,5,2024-12-20,500
356,1,2024-12-21,100
357,2,2024-12-22,200
,3,2024-12-23,300
359,4,2024-12-24,400
360,5,2024-12-25,500
361,1,2024-12-26,100
362,2,2024-12-27,200
363,3,2024-12-28,300
364,4,2024-12-29,400
365,5,2024-12-30,500
366,1,2024-01-01,100
367,2,2024-01-02,200
368,3,2024-01-03,300
369,,2024-01-04,100
370,5,2024-01-05,500
371,1,2024-01-06,100
372,2,2024-01-07,200
373,3,2024-01-08,300
374,4,2024-01-09,400
,5,2024-01-10,500
376,1,2024-01-11,100
377,2,2024-01-12,200
378,3,2024-01-13,
379,4,2024-01-14,400
380,5,2024-01-15,500
381,1,2024-01-16,100
382,2,2024-01-17,200
383,3,2024-01-18,300
384,4,2024-01-19,400
385,5,2024-01-20,500
386,1,2024-01-21,100
387,2,2024-01-22,200
388,3,2024-01-23,300
389,4,2024-01-24,400
390,5,2024-01-25,500
391,1,2024-01-26,100
,,2024-01-27,100
393,3,2024-01-28,300
394,4,2024-01-29,400
395,5,2024-01-30,500
396,1,2024-01-31,100
397,2,2024-02-01,200
398,3,2024-02-02,300
399,4,2024-02-03,400
400,5,2024-02-04,500
401,1,2024-02-05,100
402,2,2024-02-06,200
403,3,2024-02-07,300
404,4,2024-02-08,400
405,5,2024-02-09,500
406,1,2024-02-10,100
407,2,2024-02-11,
408,3,2024-02-12,300
,4,2024-02-13,400
410,5,2024-02-14,500
411,1,2024-02-15,100
412,2,2024-02-16,200
413,3,2024-02-17,300
414,4,2024-02-18,400
415,,2024-02-19,100
416,1,2024-02-20,100
417,2,2024-02-21,200
418,3,2024-02-22,300
419,4,2024-02-23,400
420,5,2024-02-24,500
421,1,2024-02-25,100
422,2,2024-02-26,200
423,3,2024-02-27,300
424,4,2024-02-28,400
425,5,2024-02-29,500
,1,2024-03-01,100
427,2,2024-03-02,200
428,3,2024-03-03,300
429,4,2024-03-04,400
430,5,2024-03-05,500
431,1,2024-03-06,100
432,2,2024-03-07,200
433,3,2024-03-08,300
434,4,2024-03-09,400
435,5,2024-03-10,500
436,1,2024-03-11,
437,2,2024-03-12,200
438,,2024-03-13,100
439,4,2024-03-14,400
440,5,2024-03-15,500
441,1,2024-03-16,100
442,2,2024-03-17,200
,3,2024-03-18,300
444,4,2024-03-19,400
445,5,2024-03-20,500
446,1,2024-03-21,100
447,2,2024-03-22,200
448,3,2024-03-23,300
449,4,2024-03-24,400
450,5,2024-03-25,500
451,1,2024-03-26,100
452,2,2024-03-27,200
453,3,2024-03-28,300
454,4,2024-03-29,400
455,5,2024-03-30,500
456,1,2024-03-31,100
457,2,2024-04-01,200
458,3,2024-04-02,300
459,4,2024-04-03,400
,5,2024-04-04,500
461,,2024-04-05,100
462,2,2024-04-06,200
463,3,2024-04-07,300
464,4,2024-04-08,400
465,5,2024-04-09,
466,1,2024-04-10,100
467,2,2024-04-11,200
468,3,2024-04-12,300
469,4,2024-04-13,400
470,5,2024-04-14,500
471,1,2024-04-15,100
472,2,2024-04-16,200
473,3,2024-04-17,300
474,4,2024-04-18,400
475,5,2024-04-19,500
476,1,2024-04-20,100
,2,2024-04-21,200
478,3,2024-04-22,300
479,4,2024-04-23,400
480,5,2024-04-24,500
481,1,2024-04-25,100
482,2,2024-04-26,200
483,3,2024-04-27,300
484,,2024-04-28,100
485,5,2024-04-29,500
486,1,2024-04-30,100
487,2,2024-05-01,200
488,3,2024-05-02,300
489,4,2024-05-03,400
490,5,2024-05-04,500
491,1,2024-05-05,100
492,2,2024-05-06,200
493,3,2024-05-07,300
,4,2024-05-08,
495,5,2024-05-09,500
496,1,2024-05-10,100
497,2,2024-05-11,200
498,3,2024-05-12,300
499,4,2024-05-13,400
500,5,2024-05-14,500
501,1,2024-05-15,100
502,2,2024-05-16,200
503,3,2024-05-17,300
504,4,2024-05-18,400
505,5,2024-05-19,500
506,1,2024-05-20,100
507,,2024-05-21,100
508,3,2024-05-22,300
509,4,2024-05-23,400
510,5,2024-05-24,500
,1,2024-05-25,100
512,2,2024-05-26,200
513,3,2024-05-27,300
514,4,2024-05-28,400
515,5,2024-05-29,500
516,1,2024-05-30,100
517,2,2024-05-31,200
518,3,2024-06-01,300
519,4,2024-06-02,400
520,5,2024-06-03,500
521,1,2024-06-04,100
522,2,2024-06-05,200
523,3,2024-06-06,
524,4,2024-06-07,400
525,5,2024-06-08,500
526,1,2024-06-09,100
527,2,2024-06-10,200
,3,2024-06-11,300
529,4,2024-06-12,400
530,,2024-06-13,100
531,1,2024-06-14,100
532,2,2024-06-15,200
533,3,2024-06-16,300
534,4,2024-06-17,400
535,5,2024-06-18,500
536,1,2024-06-19,100
537,2,2024-06-20,200
538,3,2024-06-21,300
539,4,2024-06-22,400
540,5,2024-06-23,500
541,1,2024-06-24,100
542,2,2024-06-25,200
543,3,2024-06-26,300
544,4,2024-06-27,400
,5,2024-06-28,500
546,1,2024-06-29,100
547,2,2024-06-30,200
548,3,2024-07-01,300
549,4,2024-07-02,400
550,5,2024-07-03,500
551,1,2024-07-04,100
552,2,2024-07-05,
553,,2024-07-06,100
554,4,2024-07-07,400
555,5,2024-07-08,500
556,1,2024-07-09,100
557,2,2024-07-10,200
558,3,2024-07-11,300
559,4,2024-07-12,400
560,5,2024-07-13,500
561,1,2024-07-14,100
,2,2024-07-15,200
563,3,2024-07-16,300
564,4,2024-07-17,400
565,5,2024-07-18,500
566,1,2024-07-19,100
567,2,2024-07-20,200
568,3,2024-07-21,300
569,4,2024-07-22,400
570,5,2024-07-23,500
571,1,2024-07-24,100
572,2,2024-07-25,200
573,3,2024-07-26,300
574,4,2024-07-27,400
575,5,2024-07-28,500
576,,2024-07-29,100
577,2,2024-07-30,200
578,3,2024-07-31,300
,4,2024-08-01,400
580,5,2024-08-02,500
581,1,2024-08-03,
582,2,2024-08-04,200
583,3,2024-08-05,300
584,4,2024-08-06,400
585,5,2024-08-07,500
586,1,2024-08-08,100
587,2,2024-08-09,200
588,3,2024-08-10,300
589,4,2024-08-11,400
590,5,2024-08-12,500
591,1,2024-08-13,100
592,2,2024-08-14,200
593,3,2024-08-15,300
594,4,2024-08-16,400
595,5,2024-08-17,500
,1,2024-08-18,100
597,2,2024-08-19,200
598,3,2024-08-20,300
599,,2024-08-21,100
600,5,2024-08-22,500
601,1,2024-08-23,100
602,2,2024-08-24,200
603,3,2024-08-25,300
604,4,2024-08-26,400
605,5,2024-08-27,500
606,1,2024-08-28,100
607,2,2024-08-29,200
608,3,2024-08-30,300
609,4,2024-08-31,400
610,5,2024-09-01,
611,1,2024-09-02,100
612,2,2024-09-03,200
,3,2024-09-04,300
614,4,2024-09-05,400
615,5,2024-09-06,500
616,1,2024-09-07,100
617,2,2024-09-08,200
618,3,2024-09-09,300
619,4,2024-09-10,400
620,5,2024-09-11,500
621,1,2024-09-12,100
622,,2024-09-13,100
623,3,2024-09-14,300
624,4,2024-09-15,400
625,5,2024-09-16,500
626,1,2024-09-17,100
627,2,2024-09-18,200
628,3,2024-09-19,300
629,4,2024-09-20,400
,5,2024-09-21,500
631,1,2024-09-22,100
632,2,2024-09-23,200
633,3,2024-09-24,300
634,4,2024-09-25,400
635,5,2024-09-26,500
636,1,2024-09-27,100
637,2,2024-09-28,200
638,3,2024-09-29,300
639,4,2024-09-30,
640,5,2024-10-01,500
641,1,2024-10-02,100
642,2,2024-10-03,200
643,3,2024-10-04,300
644,4,2024-10-05,400
645,,2024-10-06,100
646,1,2024-10-07,100
,2,2024-10-08,200
648,3,2024-10-09,300
649,4,2024-10-10,400
650,5,2024-10-11,500
651,1,2024-10-12,100
652,2,2024-10-13,200
653,3,2024-10-14,300
654,4,2024-10-15,400
655,5,2024-10-16,500
656,1,2024-10-17,100
657,2,2024-10-18,200
658,3,2024-10-19,300
659,4,2024-10-20,400
660,5,2024-10-21,500
661,1,2024-10-22,100
662,2,2024-10-23,200
663,3,2024-10-24,300
,4,2024-10-25,400
665,5,2024-10-26,500
666,1,2024-10-27,100
667,2,2024-10-28,200
668,,2024-10-29,
669,4,2024-10-30,400
670,5,2024-10-31,500
671,1,2024-11-01,100
672,2,2024-11-02,200
673,3,2024-11-03,300
674,4,2024-11-04,400
675,5,2024-11-05,500
676,1,2024-11-06,100
677,2,2024-11-07,200
678,3,2024-11-08,300
679,4,2024-11-09,400
680,5,2024-11-10,500
,1,2024-11-11,100
682,2,2024-11-12,200
683,3,2024-11-13,300
684,4,2024-11-14,400
685,5,2024-11-15,500
686,1,2024-11-16,100
687,2,2024-11-17,200
688,3,2024-11-18,300
689,4,2024-11-19,400
690,5,2024-11-20,500
691,,2024-11-21,100
692,2,2024-11-22,200
693,3,2024-11-23,300
694,4,2024-11-24,400
695,5,2024-11-25,500
696,1,2024-11-26,100
697,2,2024-11-27,
,3,2024-11-28,300
699,4,2024-11-29,400
700,5,2024-11-30,500
701,1,2024-12-01,100
702,2,2024-12-02,200
703,3,2024-12-03,300
704,4,2024-12-04,400
705,5,2024-12-05,500
706,1,2024-12-06,100
707,2,2024-12-07,200
708,3,2024-12-08,300
709,4,2024-12-09,400
710,5,2024-12-10,500
711,1,2024-12-11,100
712,2,2024-12-12,200
713,3,2024-12-13,300
714,,2024-12-14,100
,5,2024-12-15,500
716,1,2024-12-16,100
717,2,2024-12-17,200
718,3,2024-12-18,300
719,4,2024-12-19,400
720,5,2024-12-20,500
721,1,2024-12-21,100
722,2,2024-12-22,200
723,3,2024-12-23,300
724,4,2024-12-24,400
725,5,2024-12-25,500
726,1,2024-12-26,
727,2,2024-12-27,200
728,3,2024-12-28,300
729,4,2024-12-29,400
730,5,2024-12-30,500
731,1,2024-01-01,100
,2,2024-01-02,200
733,3,2024-01-03,300
734,4,2024-01-04,400
735,5,2024-01-05,500
736,1,2024-01-06,100
737,,2024-01-07,100
738,3,2024-01-08,300
739,4,2024-01-09,400
740,5,2024-01-10,500
741,1,2024-01-11,100
742,2,2024-01-12,200
743,3,2024-01-13,300
744,4,2024-01-14,400
745,5,2024-01-15,500
746,1,2024-01-16,100
747,2,2024-01-17,200
748,3,2024-01-18,300
,4,2024-01-19,400
750,5,2024-01-20,500
751,1,2024-01-21,100
752,2,2024-01-22,200
753,3,2024-01-23,300
754,4,2024-01-24,400
755,5,2024-01-25,
756,1,2024-01-26,100
757,2,2024-01-27,200
758,3,2024-01-28,300
759,4,2024-01-29,400
760,,2024-01-30,100
761,1,2024-01-31,100
762,2,2024-02-01,200
763,3,2024-02-02,300
764,4,2024-02-03,400
765,5,2024-02-04,500
,1,2024-02-05,100
767,2,2024-02-06,200
768,3,2024-02-07,300
769,4,2024-02-08,400
770,5,2024-02-09,500
771,1,2024-02-10,100
772,2,2024-02-11,200
773,3,2024-02-12,300
774,4,2024-02-13,400
775,5,2024-02-14,500
776,1,2024-02-15,100
777,2,2024-02-16,200
778,3,2024-02-17,300
779,4,2024-02-18,400
780,5,2024-02-19,500
781,1,2024-02-20,100
782,2,2024-02-21,200
,,2024-02-22,100
784,4,2024-02-23,
785,5,2024-02-24,500
786,1,2024-02-25,100
787,2,2024-02-26,200
788,3,2024-02-27,300
789,4,2024-02-28,400
790,5,2024-02-29,500
791,1,2024-03-01,100
792,2,2024-03-02,200
793,3,2024-03-03,300
794,4,2024-03-04,400
795,5,2024-03-05,500
796,1,2024-03-06,100
797,2,2024-03-07,200
798,3,2024-03-08,300
799,4,2024-03-09,400
,5,2024-03-10,500
801,1,2024-03-11,100
802,2,2024-03-12,200
803,3,2024-03-13,300
804,4,2024-03-14,400
805,5,2024-03-15,500
806,,2024-03-16,100
807,2,2024-03-17,200
808,3,2024-03-18,300
809,4,2024-03-19,400
810,5,2024-03-20,500
811,1,2024-03-21,100
812,2,2024-03-22,200
813,3,2024-03-23,
814,4,2024-03-24,400
815,5,2024-03-25,500
816,1,2024-03-26,100
,2,2024-03-27,200
818,3,2024-03-28,300
819,4,2024-03-29,400
820,5,2024-03-30,500
821,1,2024-03-31,100
822,2,2024-04-01,200
823,3,2024-04-02,300
824,4,2024-04-03,400
825,5,2024-04-04,500
826,1,2024-04-05,100
827,2,2024-04-06,200
828,3,2024-04-07,300
829,,2024-04-08,100
830,5,2024-04-09,500
831,1,2024-04-10,100
832,2,2024-04-11,200
833,3,2024-04-12,300
,4,2024-04-13,400
835,5,2024-04-14,500
836,1,2024-04-15,100
837,2,2024-04-16,200
838,3,2024-04-17,300
839,4,2024-04-18,400
840,5,2024-04-19,500
841,1,2024-04-20,100
842,2,2024-04-21,
843,3,2024-04-22,300
844,4,2024-04-23,400
845,5,2024-04-24,500
846,1,2024-04-25,100
847,2,2024-04-26,200
848,3,2024-04-27,300
849,4,2024-04-28,400
850,5,2024-04-29,500
,1,2024-04-30,100
852,,2024-05-01,100
853,3,2024-05-02,300
854,4,2024-05-03,400
855,5,2024-05-04,500
856,1,2024-05-05,100
857,2,2024-05-06,200
858,3,2024-05-07,300
859,4,2024-05-08,400
860,5,2024-05-09,500
861,1,2024-05-10,100
862,2,2024-05-11,200
863,3,2024-05-12,300
864,4,2024-05-13,400
865,5,2024-05-14,500
866,1,2024-05-15,100
867,2,2024-05-16,200
,3,2024-05-17,300
869,4,2024-05-18,400
870,5,2024-05-19,500
871,1,2024-05-20,
872,2,2024-05-21,200
873,3,2024-05-22,300
874,4,2024-05-23,400
875,,2024-05-24,100
876,1,2024-05-25,100
877,2,2024-05-26,200
878,3,2024-05-27,300
879,4,2024-05-28,400
880,5,2024-05-29,500
881,1,2024-05-30,100
882,2,2024-05-31,200
883,3,2024-06-01,300
884,4,2024-06-02,400
,5,2024-06-03,500
886,1,2024-06-04,100
887,2,2024-06-05,200
888,3,2024-06-06,300
889,4,2024-06-07,400
890,5,2024-06-08,500
891,1,2024-06-09,100
892,2,2024-06-10,200
893,3,2024-06-11,300
894,4,2024-06-12,400
895,5,2024-06-13,500
896,1,2024-06-14,100
897,2,2024-06-15,200
898,,2024-06-16,100
899,4,2024-06-17,400
900,5,2024-06-18,
901,1,2024-06-19,100
,2,2024-06-20,200
903,3,2024-06-21,300
904,4,2024-06-22,400
905,5,2024-06-23,500
906,1,2024-06-24,100
907,2,2024-06-25,200
908,3,2024-06-26,300
909,4,2024-06-27,400
910,5,2024-06-28,500
911,1,2024-06-29,100
912,2,2024-06-30,200
913,3,2024-07-01,300
914,4,2024-07-02,400
915,5,2024-07-03,500
916,1,2024-07-04,100
917,2,2024-07-05,200
918,3,2024-07-06,300
,4,2024-07-07,400
920,5,2024-07-08,500
921,,2024-07-09,100
922,2,2024-07-10,200
923,3,2024-07-11,300
924,4,2024-07-12,400
925,5,2024-07-13,500
926,1,2024-07-14,100
927,2,2024-07-15,200
928,3,2024-07-16,300
929,4,2024-07-17,
930,5,2024-07-18,500
931,1,2024-07-19,100
932,2,2024-07-20,200
933,3,2024-07-21,300
934,4,2024-07-22,400
935,5,2024-07-23,500
,1,2024-07-24,100
937,2,2024-07-25,200
938,3,2024-07-26,300
939,4,2024-07-27,400
940,5,2024-07-28,500
941,1,2024-07-29,100
942,2,2024-07-30,200
943,3,2024-07-31,300
944,,2024-08-01,100
945,5,2024-08-02,500
946,1,2024-08-03,100
947,2,2024-08-04,200
948,3,2024-08-05,300
949,4,2024-08-06,400
950,5,2024-08-07,500
951,1,2024-08-08,100
952,2,2024-08-09,200
,3,2024-08-10,300
954,4,2024-08-11,400
955,5,2024-08-12,500
956,1,2024-08-13,100
957,2,2024-08-14,200
958,3,2024-08-15,
959,4,2024-08-16,400
960,5,2024-08-17,500
961,1,2024-08-18,100
962,2,2024-08-19,200
963,3,2024-08-20,300
964,4,2024-08-21,400
965,5,2024-08-22,500
966,1,2024-08-23,100
967,,2024-08-24,100
968,3,2024-08-25,300
969,4,2024-08-26,400
,5,2024-08-27,500
971,1,2024-08-28,100
972,2,2024-08-29,200
973,3,2024-08-30,300
974,4,2024-08-31,400
975,5,2024-09-01,500
976,1,2024-09-02,100
977,2,2024-09-03,200
978,3,2024-09-04,300
979,4,2024-09-05,400
980,5,2024-09-06,500
981,1,2024-09-07,100
982,2,2024-09-08,200
983,3,2024-09-09,300
984,4,2024-09-10,400
985,5,2024-09-11,500
986,1,2024-09-12,100
,2,2024-09-13,
988,3,2024-09-14,300
989,4,2024-09-15,400
990,,2024-09-16,100
991,1,2024-09-17,100
992,2,2024-09-18,200
993,3,2024-09-19,300
994,4,2024-09-20,400
995,5,2024-09-21,500
996,1,2024-09-22,100
997,2,2024-09-23,200
998,3,2024-09-24,300
999,4,2024-09-25,400
1000,5,2024-09-26,500
1001,1,2024-09-27,100
1002,2,2024-09-28,200
1003,3,2024-09-29,300
,4,2024-09-30,400
1005,5,2024-10-01,500
1006,1,2024-10-02,100
1007,2,2024-10-03,200
1008,3,2024-10-04,300
1009,4,2024-10-05,400
1010,5,2024-10-06,500
1011,1,2024-10-07,100
1012,2,2024-10-08,200
1013,,2024-10-09,100
1014,4,2024-10-10,400
1015,5,2024-10-11,500
1016,1,2024-10-12,
1017,2,2024-10-13,200
1018,3,2024-10-14,300
1019,4,2024-10-15,400
1020,5,2024-10-16,500
,1,2024-10-17,100
1022,2,2024-10-18,200
1023,3,2024-10-19,300
1024,4,2024-10-20,400
1025,5,2024-10-21,500
1026,1,2024-10-22,100
1027,2,2024-10-23,200
1028,3,2024-10-24,300
1029,4,2024-10-25,400
1030,5,2024-10-26,500
1031,1,2024-10-27,100
1032,2,2024-10-28,200
1033,3,2024-10-29,300
1034,4,2024-10-30,400
1035,5,2024-10-31,500
1036,,2024-11-01,100
1037,2,2024-11-02,200
,3,2024-11-03,300
1039,4,2024-11-04,400
1040,5,2024-11-05,500
1041,1,2024-11-06,100
1042,2,2024-11-07,200
1043,3,2024-11-08,300
1044,4,2024-11-09,400
1045,5,2024-11-10,
1046,1,2024-11-11,100
1047,2,2024-11-12,200
1048,3,2024-11-13,300
1049,4,2024-11-14,400
1050,5,2024-11-15,500
1051,1,2024-11-16,100
1052,2,2024-11-17,200
1053,3,2024-11-18,300
1054,4,2024-11-19,400
,5,2024-11-20,500
1056,1,2024-11-21,100
1057,2,2024-11-22,200
1058,3,2024-11-23,300
1059,,2024-11-24,100
1060,5,2024-11-25,500
1061,1,2024-11-26,100
1062,2,2024-11-27,200
1063,3,2024-11-28,300
1064,4,2024-11-29,400
1065,5,2024-11-30,500
1066,1,2024-12-01,100
1067,2,2024-12-02,200
1068,3,2024-12-03,300
1069,4,2024-12-04,400
1070,5,2024-12-05,500
1071,1,2024-12-06,100
,2,2024-12-07,200
1073,3,2024-12-08,300
1074,4,2024-12-09,
1075,5,2024-12-10,500
1076,1,2024-12-11,100
1077,2,2024-12-12,200
1078,3,2024-12-13,300
1079,4,2024-12-14,400
1080,5,2024-12-15,500
